scenario_id,record_id,level,correct_debater_pos,label,baseline,judge,chosen_debater,a_quote_acc,a_quote_num,b_quote_acc,b_quote_num,chosen_debater_quote_acc_diff
017b322cf0dd120cab08cf4060708b61,18350e56-b7af-4e0a-9c93-bf51c6b6bef3,HighConflict,-1,proved,unknown,unknown,2,1.0,9,1.0,7,0.0
017b322cf0dd120cab08cf4060708b61,d3bb8c22-ebe0-4779-b4f6-1a5eb3528b30,HighConflict,1,proved,unknown,disproved,2,1.0,9,1.0,7,0.0
017b322cf0dd120cab08cf4060708b61,d550e8f6-164f-4a93-a021-08d33623c692,HighConflict,2,proved,unknown,disproved,1,1.0,6,0.9,10,0.09999999999999998
01e8feaa80c08cd2188a9ab3e1b8be5e,2d4d6117-572d-478f-a3ff-d426f5320e34,LowConflict,2,disproved,disproved,unknown,1,1.0,10,1.0,9,0.0
01e8feaa80c08cd2188a9ab3e1b8be5e,afa483cd-73e5-4935-b24b-da89aab007aa,LowConflict,-1,disproved,disproved,unknown,1,0.8571428571428571,7,1.0,10,-0.1428571428571429
01e8feaa80c08cd2188a9ab3e1b8be5e,ce91c730-21a2-4d64-bca7-5c0165fb80b5,LowConflict,1,disproved,disproved,unknown,2,1.0,9,1.0,8,0.0
01eac4dc70fa41d7dbf22506ad98c6e6,596d4cab-3b28-4fbf-ba0e-b9659fb7aeb1,HighConflict,-1,disproved,disproved,proved,2,1.0,11,1.0,14,0.0
01eac4dc70fa41d7dbf22506ad98c6e6,83511b56-c7de-48e9-9ffc-37a0184862ee,HighConflict,1,disproved,disproved,unknown,2,1.0,12,1.0,10,0.0
01eac4dc70fa41d7dbf22506ad98c6e6,cc276e1e-4888-4d17-a226-ddef4feb79d5,HighConflict,2,disproved,disproved,disproved,2,1.0,10,1.0,11,0.0
02106ed085ef5014c3f821d9a75c642d,4abe1ca2-1ef5-41ca-a6e3-8b437d75eda5,HighConflict,-1,unknown,unknown,disproved,2,1.0,6,1.0,9,0.0
02106ed085ef5014c3f821d9a75c642d,86cfaef8-27d3-4fbf-8742-c6f0dcf11095,HighConflict,2,unknown,unknown,unknown,2,1.0,9,1.0,7,0.0
02106ed085ef5014c3f821d9a75c642d,bc9da050-db4c-41d4-a83f-ffb04e679da7,HighConflict,1,unknown,unknown,unknown,1,1.0,10,1.0,11,0.0
024b542969feca60a0fc0b44d64bd142,4899dbd8-95bb-4c3a-a935-5ab374e5f1dc,LowConflict,-1,proved,unknown,unknown,2,1.0,9,1.0,8,0.0
024b542969feca60a0fc0b44d64bd142,82ff0ccb-27b4-4887-94cd-b33c7edbc3a0,LowConflict,2,proved,unknown,disproved,1,1.0,11,1.0,14,0.0
024b542969feca60a0fc0b44d64bd142,98e4dcb1-0afb-4fdd-929e-16d65e3b7481,LowConflict,1,proved,unknown,disproved,2,1.0,11,1.0,7,0.0
025e92f948c1abcea69ab4073b30e937,1f07cd82-3d77-4b0b-a0ed-60d01b574b1a,HighConflict,2,disproved,unknown,unknown,1,1.0,8,1.0,8,0.0
025e92f948c1abcea69ab4073b30e937,70aacb5f-620d-46e5-a5f4-bfc4425a0dd4,HighConflict,-1,disproved,unknown,unknown,1,0.8333333333333334,6,0.6666666666666666,9,0.16666666666666674
