scenario_id,record_id,level,correct_debater_pos,label,baseline,judge,chosen_debater,a_quote_acc,a_quote_num,b_quote_acc,b_quote_num,chosen_debater_quote_acc_diff,Baseline Correct,Judge Correct
017b322cf0dd120cab08cf4060708b61,5d02dff9-493f-4215-87ca-aa978ecf14bb,HighConflict,1,proved,unknown,disproved,2,0.6666666666666666,3,1.0,6,0.33333333333333337,0,0
017b322cf0dd120cab08cf4060708b61,b16ec15f-3239-4134-8c53-6cba963eebd0,HighConflict,-1,proved,unknown,unknown,2,1.0,8,1.0,7,0.0,0,0
017b322cf0dd120cab08cf4060708b61,f90a85fb-3a0f-4e89-8e92-01f401ccae07,HighConflict,2,proved,unknown,proved,2,1.0,3,1.0,8,0.0,0,1
01e8feaa80c08cd2188a9ab3e1b8be5e,3787fe8f-16ae-4db5-b242-3d76edb2063c,LowConflict,-1,disproved,disproved,unknown,1,0.42857142857142855,7,0.9090909090909091,11,-0.4805194805194805,1,0
01e8feaa80c08cd2188a9ab3e1b8be5e,56b43d93-9a18-4264-98d1-31b87b37196c,LowConflict,2,disproved,disproved,unknown,1,1.0,6,1.0,9,0.0,1,0
01e8feaa80c08cd2188a9ab3e1b8be5e,f759c51f-e65c-4c57-a154-9681cef084a0,LowConflict,1,disproved,disproved,unknown,2,0.75,4,1.0,7,0.25,1,0
01eac4dc70fa41d7dbf22506ad98c6e6,1b8e5cac-6233-4090-9cbc-e4ad069d4e59,HighConflict,2,disproved,disproved,disproved,2,0.875,8,1.0,9,0.125,1,1
01eac4dc70fa41d7dbf22506ad98c6e6,2ebbab84-ba1b-4d94-8ca2-289d799454cc,HighConflict,1,disproved,disproved,unknown,2,1.0,10,1.0,7,0.0,1,0
01eac4dc70fa41d7dbf22506ad98c6e6,362c5e98-5fe9-4104-8a3e-2142f523c5ed,HighConflict,-1,disproved,disproved,unknown,1,1.0,3,1.0,3,0.0,1,0
02106ed085ef5014c3f821d9a75c642d,34bf6501-a8c2-48a2-acfc-d721d1bee8fd,HighConflict,-1,unknown,unknown,disproved,2,1.0,7,1.0,7,0.0,1,0
02106ed085ef5014c3f821d9a75c642d,cfb37f78-f81a-44ee-853e-c1c6fcc91dbe,HighConflict,1,unknown,unknown,unknown,1,1.0,8,1.0,6,0.0,1,1
02106ed085ef5014c3f821d9a75c642d,d2ed39fb-f80a-4793-9deb-5f09564dffbf,HighConflict,2,unknown,unknown,unknown,2,1.0,7,1.0,6,0.0,1,1
024b542969feca60a0fc0b44d64bd142,28c0a843-9cd0-4640-beff-2981b40b8ebb,LowConflict,-1,proved,unknown,unknown,2,0.7142857142857143,7,0.8333333333333334,6,0.11904761904761907,0,0
024b542969feca60a0fc0b44d64bd142,5e82c3f7-9e2f-479e-bf19-7255263630d1,LowConflict,2,proved,unknown,disproved,1,0.8333333333333334,6,1.0,6,-0.16666666666666663,0,0
024b542969feca60a0fc0b44d64bd142,8dfe0107-2294-435c-8e29-49570f3306ff,LowConflict,1,proved,unknown,disproved,2,1.0,5,1.0,6,0.0,0,0
025e92f948c1abcea69ab4073b30e937,d4ba18aa-0234-406f-9d2c-4c550d47ee19,HighConflict,1,disproved,unknown,unknown,2,0.7142857142857143,7,1.0,12,0.2857142857142857,0,0
025e92f948c1abcea69ab4073b30e937,dba47f49-1d19-4fbe-9ce5-1bc97f315392,HighConflict,-1,disproved,unknown,unknown,1,0.0,4,0.6,5,-0.6,0,0
025e92f948c1abcea69ab4073b30e937,fa9919e0-ea24-4959-9e0b-ad6014f3ca5e,HighConflict,2,disproved,unknown,disproved,2,0.875,8,1.0,9,0.125,0,1
081e8db52b7a0694d3c47ec76d1296f7,c2aa7d1e-e1e4-41ed-b96c-4248da84072f,LowConflict,-1,disproved,proved,unknown,1,1.0,3,1.0,3,0.0,0,0
081e8db52b7a0694d3c47ec76d1296f7,e6b8ddd4-d2bc-4ce2-adcd-869e3e5c067e,LowConflict,2,disproved,proved,disproved,2,0.0,6,0.5555555555555556,9,0.5555555555555556,0,1
081e8db52b7a0694d3c47ec76d1296f7,ed126839-28b9-46f3-a580-e7efb070cd4e,LowConflict,1,disproved,proved,unknown,2,1.0,2,1.0,4,0.0,0,0
09000c3d82cda08090f3527f6ace6ce4,072b0cd2-f2c7-4dfd-9ff8-b6b4d4c2a4a9,LowConflict,1,disproved,disproved,unknown,2,1.0,6,1.0,7,0.0,1,0
09000c3d82cda08090f3527f6ace6ce4,bcba4131-44fa-45f2-b2d0-e01c806450cb,LowConflict,2,disproved,disproved,disproved,2,0.7777777777777778,9,1.0,12,0.2222222222222222,1,1
09000c3d82cda08090f3527f6ace6ce4,f7f4f9ff-1ab6-4c91-818e-e8272e44e6d7,LowConflict,-1,disproved,disproved,unknown,1,1.0,5,1.0,6,0.0,1,0
0b9a9bc2660efcff116776f25a2b14b6,0e8324fc-09e0-4ed5-b58f-75d1e021e373,LowConflict,-1,proved,proved,unknown,2,1.0,3,1.0,5,0.0,1,0
0b9a9bc2660efcff116776f25a2b14b6,4d60fec6-abbf-4f49-b8bf-ff5b88018473,LowConflict,2,proved,proved,disproved,1,0.6666666666666666,3,1.0,2,-0.33333333333333337,1,0
0b9a9bc2660efcff116776f25a2b14b6,c017d929-bc11-4ac3-9be7-ed126b811aca,LowConflict,1,proved,proved,disproved,2,1.0,3,1.0,3,0.0,1,0
0dcab2c314a4687f27614fb236d11fbc,2cc7b556-7071-419f-b6a0-19af2e40595d,HighConflict,2,proved,proved,proved,2,1.0,4,1.0,9,0.0,1,1
0dcab2c314a4687f27614fb236d11fbc,8c91c2f7-30b0-4228-a46b-5321a574b4fa,HighConflict,-1,proved,proved,unknown,2,1.0,8,1.0,6,0.0,1,0
0dcab2c314a4687f27614fb236d11fbc,bb3c3e32-189d-4616-af6a-09cfabd44709,HighConflict,1,proved,proved,disproved,2,0.875,8,1.0,7,0.125,1,0
0f72d2ac8542323babccd7fdb6584841,6cc7dfc8-ad00-4e9f-99f2-d39b01b3fd89,LowConflict,-1,proved,proved,unknown,2,1.0,3,1.0,3,0.0,1,0
0f72d2ac8542323babccd7fdb6584841,bf0c225c-41bf-43bc-b8ba-10ce944c5675,LowConflict,2,proved,proved,proved,2,1.0,5,1.0,6,0.0,1,1
